area,sub_area
Manikdi,Mastertek
"Dhaka Cantonment",Balughat
"Dhaka Cantonment",Baruntek
"Dhaka Cantonment",Barontek
"Dhaka Cantonment",Goltek
"Dhaka Cantonment",Baigertek
Nodda,"Joar Shahara"
Vatara,Kuril
Vatara,"Kuril Chourasta"
Kuril,Kurill
Badda,"DIT Projects"
Badda,"East Merul Badda"
Badda,nimtola
Badda,"Merul BaddaDIT Project"
Badda,"Ananda Nagar"
Badda,Jheelpar
Badda,"Madina Nagar"
Badda,"East Badda"
Badda,Sonakatra
Kuril,"Kuril Chowrasta"
Basundhara,"Bashundhara Main Road"
Kafrul,"Corner View R/A"
Khilkhet,Kuratoli
Mirpur,darussalam
Kuril,Khilkhet
Tejgaon,Tejkuni
Tejgaon,"West Tejkunipara"
Kallyanpur,"South Kallyanpur"
Tejgaon,Tejkunipara
Tejgaon,"North Tejkunipara"
Tejgaon,"Uttar Tejkunipara"
Tejgaon,"West Nakhalpara"
Mohammadpur,"Green View Housing"
Mohammadpur,"Section 4"
Tejgaon,Arjotpara
Vatara,"Cocacola Road"
Tejgaon,Shaheenbagh
Mohakhali,Rasulbagh
Mohakhali,Rosulbagh
Tejgaon,"Purbo Nakhalpara"
Farmgate,"East Tejturibazar"
"Karwan Bazar","West Tejturibazar"
Mohammadpur,"Ajij Moholla"
Farmgate,"West Tejturi Bazar"
Moghbazar,"Wireless Railgate"
Moghbazar,"Greenway Boro Moghbazar"
Moghbazar,"Greenway Road Boro Moghbazar"
Moghbazar,Peyarabagh
Moghbazar,"Greeway Boro Moghbazar"
Moghbazar,Pearabagh
Moghbazar,"Greenway Moghbazar"
Moghbazar,"Boro Moghbazar Greenway"
Moghbazar,"Wireless Mor"
Moghbazar,Gabtola
"Elephant Road",Katabon
"New Market","New Elephant Road"
Moghbazar,"East Noyatola"
"New Market","Old Elephant Road"
Moghbazar,Modhubagh
"Elephant Road","Bata Signal"
"New Market",Elephant
Moghbazar,"House 306/A"
Moghbazar,"House 319"
Moghbazar,Mirbagh
Moghbazar,"Nayatola Road"
Kolabagan,"Kathalbagan Bazar"
Nilkhet,Babupara
Moghbazar,"West Hazipara"
"New Market","Elephant Road"
"New Market","Katabon Dhal"
Moghbazar,"House 631"
Moghbazar,"House 636"
Moghbazar,Jafranbagh
Hatirpool,Sonargon
Moghbazar,"House 179"
Gulshan,Kalachandpur
Mohammadpur,"Section 03"
Mohammadpur,"Section E"
Mohammadpur,"Pulpar Bottola"
Mohammadpur,Jafrabad
"New Market","Science Laboratory"
Kolabagan,"Old 325 Sonargaon Road"
Kolabagan,"Old 40 Sonargaon Road"
Kolabagan,"Old 39 Sonargaon Road"
Kolabagan,"Old Sonargaon Road"
Kolabagan,Poribagh
Kolabagan,Hatirpul
Kolabagan,"35 Poribagh"
Shahbagh,"35/1 Poribagh"
Mohammadpur,Katasu
Moghbazar,"Mirbagh Modhubagh"
Moghbazar,"Modhubagh Jheelpar"
Dhanmondi,Hatirpool
Mohammadpur,Shankar
Rampura,"Jamtola East Rampura"
Rampura,"East Rampura Jaamtola"
Khilgaon,Notunbagh
Rampura,"East Hajipara"
Moghbazar,Ambagan
Meradia,Ansarbagh
Goran,"Uttor Goran"
Meradia,"Meradia Bazar"
Meradia,"House 15/1/A"
Meradia,"House 15/1/A/2/2"
Meradia,"House 15/1/4. Meradia Bazar"
Meradia,"House 15/KA/5/2"
Khilgaon,Saherunbag
Khilgaon,Saherunbagh
Khilgaon,Sipahibagh
Meradia,Moddhopara
Meradia,"Meradia Noyapara"
Rampura,Moulvirtek
Rampura,Moulovirtek
Ramna,Kakrail
Ramna,"Bijoy Nagar"
Shegunbagicha,Shegunbagicha
Ramna,Bijoynagar
"South Banasree","Block G & J"
Paltan,"Naya Paltan"
"South Banasree","East Madartek"
Madartek,Sharifbagh
Madartek,"Uttor Madartek"
Madartek,Sobujbagh
Madartek,"West Madartek"
Goran,"East Goran"
"South Banasree","House 39/A"
"South Banasree","House 26/A"
Khilgaon,Meradiya
Rampura,Shobujhbagh
Khilgaon,"Sipahibagh Moar"
Motijheel,Arambagh
Motijheel,Arambag
Jigatola,"House 21/1"
