address,,,,,,,,,,link,id,location/located_in
"D-93, Thana Road",,,,,,,,,,https://www.facebook.com/Cafe-Metro-133690073957122/,133690127290450,
"President Cafe, Shiddhirganj",,,,,,,,,,https://www.facebook.com/presidentcafe1/,2274124422659582,
"6th Floor, Solar Trade Center (Opposite Sector #11 Mosque), Sector #11, Uttara.",,,,,,,,,,https://www.facebook.com/cloudsfood/,490984517760859,
"House No. 10, Road No. 09 (New), Dhanmondi R/A",,,,,,,,,,https://www.facebook.com/caferhein/,1699427300274882,
Waspur,,,,,,,,,,https://www.facebook.com/pages/Cafe-River-View/343281786124310,343281792790976,
"Ring Tower (4th Floor), 6/A Ring Road, Mohammadpur",,,,,,,,,,https://www.facebook.com/arenacafebd/,756564624468240,
62/A Siddeshwari Road,,,,,,,,,,https://www.facebook.com/BruTownCafe/,1770654269844515,
Road 12(new),,,,,,,,,,https://www.facebook.com/uthancafe/,1543684508994766,
"Road 16, House 54/A, Block A, Banani",,,,,,,,,,https://www.facebook.com/CafeNotreDamians/,167282383938223,1847760585446194
"y/13, Nurjahan Road (Beside Islamia Library and in front of Mohammadpur Girls School), Mohammadpur",,,,,,,,,,https://www.facebook.com/cafehamza.bd/,207065229664300,
R.B. Tower (2nd Floor)  56/9 Lake Circus West Panthapath (near square hospital and opposite of calcutta dry cleaners),,,,,,,,,,https://www.facebook.com/BitcoinCafeDhaka/,287592701776343,
"Hakam Foundation, 6th floor, House:98, Road: 11, Block:C, Banani",,,,,,,,,,https://www.facebook.com/smokemusiccafebd/,138195582920881,
"64,South Bishil, Road 8,mirpur 1,dhaka",,,,,,,,,,https://www.facebook.com/cafeonebd/,547068762333423,
"Plot # 60 Keyari Crescent .Level 10 . Zigatola Bus Stand, Shaat Masjid Road Dhanmondi",,,,,,,,,,https://www.facebook.com/lasvegascafeconvention/,439858302875471,
161/1/C,,,,,,,,,,https://www.facebook.com/bjrestaurent/,421789531600800,
"Jigatola, Dhaka",,,,,,,,,,https://www.facebook.com/pages/Cafe-Las-Vegas/1617705925208602,1617705938541934,
green road panthapoth,,,,,,,,,,https://www.facebook.com/pages/Green-Road/191219997586777,191220010920109,
"Kuratoli (beside AIUB Permanent Campus), Kuril Bishwa Road Dhaka, Bangladesh",,,,,,,,,,https://www.facebook.com/cafe442bd/,133128520669157,
Ati Bazar Bosila Road Dhaka Bangladesh,,,,,,,,,,https://www.facebook.com/pages/Cafe-Wifi/164026457532047,164026464198713,
,,,,,,,,,,https://www.facebook.com/YourGrounds/,1641020592826919,
"PARK FOODIEZ, 3449 Sagufta DOHS Road, Beside Mirpur DOHS Gate 01",,,,,,,,,,https://www.facebook.com/cafe.avengers.bd/,701517403547060,
"34/1 kadamtala,bashabo.",,,,,,,,,,https://www.facebook.com/aunicafe34/,2060700644150971,1291826430871777
"Rafiq Super market,Madani Ave,Plot- #6, Baridhara, Block- J, Notun Bazar Batara",,,,,,,,,,https://www.facebook.com/cafe4star.bd/,310885092737650,
"Kazi Tower, Konabari, Gazipur",,,,,,,,,,https://www.facebook.com/pages/Cafe-Adda-Konabari-Gazipur-Dhaka/248779898606705,248779915273370,
,,,,,,,,,,https://www.facebook.com/pages/300-Feet-Rickshaw-Cafe/2015402952054905,2015402958721571,
"Arts Building, University of Dhaka",,,,,,,,,,https://www.facebook.com/ducsu.cafe/,1767442416891330,
Shyamoli Square,,,,,,,,,,https://www.facebook.com/backstreetcafebd/,897162873711068,
"Road:10, Block:C , ghat Par Bazar,  Bashundhara R/A, Dhaka.",,,,,,,,,,https://www.facebook.com/tbcbashundhara/,174697173052685,
,,,,,,,,,,https://www.facebook.com/cafelovebirds/,319879861823723,
"House# 34, Road# 21, Block -B, Banani     1212 Dhaka, Bangladesh",,,,,,,,,,https://www.facebook.com/pages/Roll-Xpress-Caf%C3%A9/106854519395931,106854536062596,
Bashundhara Riverview RD,,,,,,,,,,https://www.facebook.com/CafeLAIS/,418386718955084,995571010459649
Mirpur DOHS,,,,,,,,,,https://www.facebook.com/pages/Coffee-Glory-Tess/1433453663591902,1640937262843540,146434265428021
"Gulshan Branch - House 10, Road 53,Gulshan 2",,,,,,,,,,https://www.facebook.com/bittersweetcafebd/,1.01524834059369E+016,
"House # 11, Road # 8, Dhanmondi",,,,,,,,,,https://www.facebook.com/jolly.roger.cafe.dhanmondi/,1363280577056869,
37 Lalbagh (1st Floor),,,,,,,,,,https://www.facebook.com/CocktailsCafe/,1633930376932790,
17 No Narinda,,,,,,,,,,https://www.facebook.com/CafeDawat/,330480974465775,
